56fans	北京榴乡桥下的小黄车坟场，你们大概感受一下。。。[摊手] ​​​	[<星雨里>: 全社会性的道德大滑坡的又一具体体现。。,<呆头鹅一v一>: [污][污][污]我不会说看这图就像我在玩H1Z1,<泠桀往事>: 目测南宁也会是这样,<一只大山羊的羊>: 该，这杰宝玩意儿到处乱放，妨碍正常走路，开车。就应该取缔。,<广告人杂志>: [污]吓得吃手手,<赵典孟>: 车辆乱停放，然后被集中扔到这里了吗？,<吾法吾天-Jack>: 给国家去产能、融资、低碳环保，可现在感觉像闹蝗虫一样]
56fans	留下你按下@ 后出现的第三个人，随机抽送你们各一份大礼包，敢不敢来玩玩[doge] ​​​	[<闪闪的陈佳琦>: @无敌泡pity,<我只在乎陇茂>: @杜依琴   @金华秋月   @小小女子乔,<鹏越的世界2010>: 回复 @鹏越的世界2010 :沙发[可爱][可爱],<鹏越的世界2010>:   @晓晓的漂泊]
56fans	在零下30度泡温泉的感觉。。。头发瞬间冻住，又瞬间解冻，好爽！（不说还以为头上盘了一盆泡面） ​​​	[<上海梅姐>: 回复 @56网 :可以考虑去体验一下战斗民族的生活,<是你的初恋啊>: 回复 @安东尼的小可爱- :[拜拜],<一颗双子>: 回复 @是你的初恋啊 :感觉你这样 我会笑死[doge],<是你的初恋啊>: @安东尼的小可爱-  想玩,<鱼儿12_>: 回复 @law_giun :你咋给我取暖？,<law_giun>: 回复 @赫连云裳_ :[害羞]我给你取暖,<鱼儿12_>: 回复 @law_giun :我怕冷，。。,<law_giun>: 回复 @赫连云裳_ :[白眼]怎么了嘛，你嫌弃我嘛？,<我说少年郎>: 回复 @梨花壹 :感觉会得风湿,<鱼儿12_>: 回复 @law_giun :你去吧，太酸爽臣妾做不到,<兹夏>: @Embankment,<一虫二鸟三ducks>: @宇琴党  之前和[猪头]说过的那张gif,<短鼻子长颈鹿>: @Semine_J  一起去一起去⸜(* ॑꒳ ॑* )⸝,<law_giun>: @赫连云裳_   好好玩,<喝酸奶的田田>: 回复 @红眼兔冷眼猫 :就在家里放着呐！木有带到北京来~,<Underaque>: 阿拉斯加费尔班克斯的chena温泉[笑cry]从更衣室出来走进温泉的路上简直是[拜拜],<戈壁酒泉人01>: 麻蛇， @那年那兔那些事儿吧  、 @翼下之风动漫科技有限公司  ，你们能出一个抗联的作品吗？// @-逆光飞行- : 想想零下40℃潜伏的志愿军战士,<-突突突突突突突突->: 不能哭，眼泪会冻住// @-逆光飞行- : 想想零下40℃潜伏的志愿军战士,<吉米没吃饱>: 扯犊子，完全不可能瞬间冻住。[挖鼻],<大张V587>: 出水瞬间jb会不会冻成冰棍了[哆啦A梦吃惊],<背柴火的淑女>: [哈哈][哈哈][哈哈],<嘻嘻今天吃了五碗饭>: @真的很随便啊啊啊  好棒啊,<赛艇选手_MIA>: 不怕头发碎掉嘛……,<白衣欺雪>: 不会头疼吗？一冷一热[笑cry],<枫随秋意醉>: 最右直接把原博的气氛带向了悲壮[泪]// @白帽蓝衣 : [泪]// @悬壶问茶 :[泪]// @Taurus-Christine :突然哭出来……// @-逆光飞行- :想想零下40℃潜伏的志愿军战士,<淡影隐衣>: [泪]// @悬壶问茶 : [泪]// @Taurus-Christine :突然哭出来……// @-逆光飞行- :想想零下40℃潜伏的志愿军战士,<认得我的就知道我是谁啦>: 有个游戏更好玩，你们掰一掰头发玩玩[阴险],<薛诺520>: 这样也不感冒，牛[二哈],<Ria小佳佳>: @Albert-言身寸,<管轶栋>: @斯巴拉蜥   @行翀,<lovetingyuan>: 我只看到了热量的大量被浪费,<我想扎耳眼却一直没扎成>: 得瑟，也不怕感冒………等着以后头疼吧！,<fyjs地摊上的马甲>: [泪]不能哭，眼泪也会冻住的。。。// @-逆光飞行- : 想想零下40℃潜伏的志愿军战士,<只爱炒粉>: @一只迷路的姑娘  [二哈][二哈]想去,<-越来悦>: @-朱心肝  你猜你的会怎么样,<56网>: 回复 @上海梅姐 :战斗民族,<56网>: 回复 @Symphonie- :[doge]不回了,<sky空空>: 我想头发应该不用剃了吧~~~脆！// @-逆光飞行- : 想想零下40℃潜伏的志愿军战士,<住在天堂里的孩子>: 头发冻硬了是不是一碰就断了,<红眼兔冷眼猫>: @喝酸奶的田田  泳衣带了没有,<z朱子仲z>: 零下20多度泡过，第二天早上起来零下33度，就走了。。,<轻拿轻放哟>: 脑补出浴那一刻[摊手],<梨花壹>: @邹旭---  [兔子] @我说少年郎  这个太酷了,<上海梅姐>: 回复 @仵作房里的乌龟 :应该超爽的，比我们在冰岛蓝湖温泉要好玩的多,<Symphonie->: 他们怎么回室内呢,<看看963>: @我是理科狗   @风吹思念知深浅_   @我生有涯愿无尽_,<爱工作爱学习的一只辣姬>: 哈哈哈哈哈 好可爱,<她影herinfilm>: 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，这个天然特效我给满分,<上海梅姐>: @仵作房里的乌龟  好玩好想体验，不知道这是哪里？]
56fans	说一句你家乡最有代表性的方言_________________，证明你是哪里人 ​​​	[<56网>: 回复 @安静的小强_低调哈怂 :哈哈哈哈哈我都不懂耶！[疑问],<56网>: 回复 @wswChina :不懂不懂求告知！,<56网>: 回复 @一瓢饮K :哈哈哈说的我好想慈！,<56网>: 回复 @成长期周子懒 :这个我懂！[笑cry][笑cry],<56网>: 回复 @如朴若谷 :这是啥意思呀[疑问],<一瓢饮K>: 回复 @56网 :我家乡管冰棍叫冰果，吃说成慈，我的家乡是鞍山，特产南果梨,<56网>: 回复 @陈惰主- :我都不懂怎么办[笑cry],<56网>: 回复 @卍待尔回眸 :我也来瞅瞅,<56网>: 回复 @August_cat_ :我发现我都看不懂[笑cry],<56网>: 回复 @一瓢饮K :不懂耶！啥意思？,<56网>: 回复 @早安暖心晚而不安 :这是啥意思？哪里哒？,<竺翰学>: 回复 @卍待尔回眸 :[哈哈][哈哈],<卍待尔回眸>: 回复 @竺翰学 :瞅你咋地[偷笑],<回音哥录像>: 后台专辑视频顺序一直改了后一刷新就没了！就早上好了一阵，下午就又不能改了！什么原因？,<全球最新资讯大全>: [good]成好了！]
56fans	你截到的第1张图，可能代表你的2017~ 大家来试试，评论里告诉大家哈~！ ​​​	[<云淡风轻001100>: 图片评论  http://t.cn/RIgK3zf,<小小小樱桃orz>: 回复 @-阿呆姑娘- :[拜拜][拜拜][拜拜]  http://t.cn/RIgonCi,<-阿呆姑娘->: @_彩虹糖__的梦_   @小小小樱桃orz  土豪[哈哈]  http://t.cn/RIgSxKm,<彭彭鑫鑫历险记>: 。。  http://t.cn/RIgSICv,<YyyqqQIAN>: 嗯！  http://t.cn/RIgahZ5,<盆子菇凉>: [笑cry][笑cry]  http://t.cn/RIg6NZV,<巘嘂>: 图片评论  http://t.cn/RIgiko8,<甜甜的柠檬酸味道>: 萌萌哒的自己[太开心]  http://t.cn/RIgiEk9,<小Ding0807>: 哈哈哈哈  http://t.cn/RIgiOfN]
56fans	用一个词来描述你的2016_____________ （评论随机抽3位送电影票~！） ​​​	[<咩咩兔没有昵称>: 2016，大遗憾,<秋天的初晓>: 我的2016用一个字来形容是爱！,<小鹏爱上旅行>: 努力上进 2017年将要来临！今年落花残红，明年春来依旧香满枝。华年却不堪折，时光已是一去不再回头。2017年希望自己工作顺利  ，祝家人健康幸福，平平安安！祝小编生活愉快，祝56网  取得更好的成绩！,<美人鱼不是童话>: 无怨无悔，么么哒[强][强]支持好活动，每次都来凑热闹都我也不知道什么时候可以中奖呀。蛮期待的！希望人品爆发呀呀呀[星光],<悠悠我心绪>: 爱情来的太快，像龙卷风,<一O一O去远方>: 一直在往前走，可是也回过头,<everlastinglove幸福>: 见光见亮[眼泪],<夏苏幕>: 一个人走完了本是两个人一起走的旅途,<abcdand打不留>: 想干的太多，做得太少，希望2017年可以早日完成自己给自己定的目标🙈🙈🙈🙈,<星星上的阳光>: 56.com至上,<面包树离家出走>: 有夫之妇[挖鼻][嘻嘻],<兔二爷的小月亮>: 坚持到底 梦想成真 举案齐眉[爱你],<煎炸焖炖炒>: 我一直还在思考当年2015年的这个时候我在想什么,<宇智波_鼬神>: 恍恍惚惚，红红火火！,<韦嘉晴>: 差点跌进坑里。。,<娱乐热搜排行榜>: 我很幸运和你互粉了[嘻嘻],<海边的野孩>: 先生存，再生活！[二哈],<-17oC>: 失败失败还是失败,<笛qia尔>: 怀肉不露，仍未暴富,<纯属幻想想想>: 该遇到的不该遇到的都遇到了。。,<一元yj>: 坚持做自己，虽然遇到很多困难[爱你],<慧声慧色er>: 快乐！[心]因为进入了新的学校认识了新的朋友[心],<zxc李敏>: 很倒霉但也很幸福,<熠熠洛桐>: 2016活出自我，脱单成功！,<吴萝卜爱吃兔子>: 蓝瘦香菇……求安慰[委屈][委屈],<萝卜贰>: 充满惊喜，充满期待]
56fans	今天感恩节，评论留下你最想感恩的人，评论过56条就随机送（电影票，限量纪念品随你挑） ​​​	[<飍靐龘驫馫飝鱻>: 谢谢博主[礼物] [嘻嘻],<清栀绿绾>: 感恩亲人~以及男票,<吟朵媚欣>: [泪]送我个男友吧。感谢56,<Yolanda798>: 感恩父母，感恩我身边所有的人,<前推后拉>: 感恩部队，感恩我的好战友  http://t.cn/Rf9NU1F,<帅评科技>: 今天是感恩节，我感恩生命中让我遇到的每一个人，你也许是我的亲人，也许是朋友，也许只是一面之缘，也许至今都不曾见过，都要感恩，是大家用爱心和宽容组成了我生活的点点滴滴，感激这个世界的魅力，感激你们的存在，感激我们的相识，感恩节快乐！感恩有你！[爱你][爱你],<衿池>: 想要感谢的人太多了，虽然平时联系的少，但有需要帮忙的地方我都会尽力,<衿池>: 感谢博主[哆啦A梦微笑][哆啦A梦微笑],<衿池>: 嘻嘻，我想看海洋奇缘[傻笑],<衿池>: 老妈后天生日，今天感恩节给她发了个棒棒糖的图片，她说好吃[眼泪],<衿池>: 哈哈，另外感谢曾经送过我电影票的博主，让我看了一场好看的电影,<衿池>: 感谢每一个为我点赞的人,<yoonatoey>: 此时此刻最想感谢帮我打饭留午餐的同事[泪][泪][泪],<衿池>: 感谢56分享的很多资讯[爱心],<衿池>: 感谢很多博主，让我长知识开眼界,<衿池>: 感谢微博上的很多朋友，要不然我也只是玩单机，多没意思,<火车伊要开往叨位>: 感谢所有的经历让我成长 感谢所有的朋友让我依赖 感谢爸爸妈妈让我拥有这些,<衿池>: 感谢曾经伤害过我的人，让我学会了坚强,<衿池>: 感谢那些路过我生活的人，让我学会了很多,<衿池>: 感谢大学的舍友，性格相投，让我度过了几年欢乐时光,<衿池>: 感谢身边的朋友陪我度过这么多时光，忍受我的坏脾气,<cinki想做超人>: @思琪系长腿baby ：我最感谢生命，感谢身边的一切，感谢生活，感谢自己。最要感谢父母给予我的一切，不管自己过得如何，感谢世界[心],<层德饭>: 感谢自己一直为了梦想奋斗,<琼胤>: 感谢恩师。没了你。我也不会有今天自己。,<Yan妍妍Yan>: 感恩在我世界停留或路过的所有人，是你们让我成长，所有喜怒哀乐，悲欢离合都有你们陪伴，有了你们我得生活才丰富多彩，也是你们让我觉得世界不孤单，生活有乐趣！爱你们哦！,<不惑感觉>: 感恩儿子，他总能带给我欢乐[挤眼],<名叫珊姐姐>: 感恩这个美好的世界，我们能如此美好的活着。,<田昌tc>: 父母and  @思怡怡yi,<ioyyy_>: 感谢爸爸妈妈， 最初我们来到这个世界，是因为不得不来； 最终我们离开这个世界，是因为不得不走。 希望父母永远健康快乐,<你会怎样做>: 感恩视频上传者，他们有的是原创达人有的是无私的搬运工，没有他们就没有泡面番没有搞笑视频看啦。,<UNIaimee>: 是亲爱的父母大人啊,<你会怎样做>: 回复 @兔子炸毛 :这个答案永远不会过时[爱心][爱心][爱心],<兔子炸毛>: 最感恩父母，没有他们就没有我。心中永远的第一位[心]。]
56fans	每人说一句自己的口头禅来给我听听__________ 评论随机抽2位继续送礼物~！[坏笑] ​​​	[<全球最新资讯大全>: [哼]闲的！！！,<帅不帅帅不帅帅不帅帅>: 56是个大帅比！,<雨下了-走好路>: 你要乖啊，要听话啊。,<leeving_>: 你要是这么说我就不乐意了[哆啦A梦微笑],<隔壁老王Errr>: 汝乃天娇，何不上九霄。,<Sw-Takuya>: 我错了[泪][笑cry][笑cry][笑cry],<没事儿就要哈哈哈>: 5256，我爱我乐！]
56fans	你跟你的男/女朋友试过冷战吗？最长是多少天____________？ ​​​	[<56网>: 回复 @卺纨 :爱情要相互迁就的，不能一味的迁就.不适合就重新开始吧~加油！,<haimei想重新认识你>: 回复 @56网 :算了，梦里过日子,<56网>: 回复 @嗨-王喵喵 :有问题就解决问题，能解决就好好一起，不能就让彼此重新自由~,<张洲>: 厄……86年，一直到今天了吧……,<56网>: 回复 @haimei超人 :幸福要靠自己争取啊！大胆去吧！,<haimei想重新认识你>: 冷战了4年后，只是好朋友了！根本没在一起过[哈哈]互相喜欢却不敢开口，各自找各爱，互相等谁先结婚,<嗨-喵M>: 因为不懂得表达，有问题一味逃避而不解决，用冷战的方法，最终我失去了他,<stillsilience>: 从出生到现在(:3_ヽ)_,<一块腹肌的学霸君>: 冷战了20多年了，一直躲着我，找都找不到。。,<卺纨>: 没有冷战   然后我卑微的妥协了  结果是   分手...]
56fans	你最喜欢的一本书是什么___________? （评论点赞最多送限量版奥运小狐一只哟） ​​​	[<是一颗草莓_>: 喜欢《解忧杂货店》[心],<A_Mei_______>: 《高等数学》（上）＆（下），是同济大学出的那本～[偷乐],<偉皇大帝>: 钱钟书先生的《围城》,<窗玻璃上的雨>: 跟大家都不一样，我怎么喜欢《霍乱时期的爱情》更多些呢？图上的书都很喜欢[ok],<曹大帅315>: 五年高考三年模拟,<沐雨菡萏>: 盗墓笔记[笑cry][哈哈],<孙选毕>: 《1Q84》《白夜行》,<ziranhp>: 《百年孤独》对我而言，读书（小说）是最好的解压方式，在书中进入另一个世界。马尔克斯的书都喜欢，看不懂有什么关系，我喜欢他，感谢他。感谢所有的大神们。有时候幸好中国有《红楼》可以并肩。要不在马尔克斯面前太不好意思了。,<沉迷代码的康康蜜汁kaylor>: [喵喵]百年孤独。虽然我一直看不懂，但是不妨碍我看他[脸红][脸红],<各种得瑟滴弱智伪文青>: 只看了《百年孤独》,<一只会祛痘的肥喵>: 小编是如何养成的[doge],<J丶Klein>: 我就喜欢不那么好的你]
