huangluxiaozhu	收工剧组送的花，生日在工作中到来了 南京·鼓楼区 ​​​	[<LusA_Daz>: 还在南大嘛！想看看你～生日快乐[蛋糕]🎊[礼花][气球],<口西木念>: 璐璐生日快乐[蛋糕][蛋糕],<大叔18歲_>: 太美好了[鲜花],<Antoine光寒>: 生日快乐，一切顺利。[蛋糕],<今天東籬回家了嗎>: 生日快乐[鲜花],<一百斤五花肉>: 璐姐生快!!![蛋糕][蛋糕][蛋糕],<宋小源儿么么>: 生日快乐[心][心][心],<SirgelinXX>: 生日快乐[爱你],<孙博文同學>: 璐姐，生日快乐！[蛋糕],<ale_sun>: 生日快乐[鲜花][鲜花][鲜花],<我们的存在-->: 生日快乐lulu,<惠新东街大美牙>: 生日快乐[心][心][心]]
huangluxiaozhu	六一儿童节快乐，左边是小时候的我和姥姥，右边是我和ava，生命总是不断轮回 ​​​	[<黄璐lulu>: 回复 @大叔18歲_ :姥姥画的,<大叔18歲_>: 牆上都是小璐璐畫的,<赵小满同学>: a一个模子刻出来的啊!,<Cream-遥>: Ava和你小时候好像！[爱你]可爱炸]
huangluxiaozhu	半夜收到好消息，邱阳《小城二月》 戛纳电影节短片金棕榈奖，本人第一次做联合制片[偷笑] ​​​	[<霜雪未千年>: 厉害了[作揖] 恭喜,<安有西江月>: [心][心][心][心][心][心],<听i风铃>: 恭喜恭喜呀[可爱],<淑寧子>: [鲜花][鲜花][鲜花][鲜花],<摩卡私房烘培坊>: 从《推拿》追你到今天，没让我失望,<小幺e>: 在哪里可以观看这部作品呢,<樱花木小道>: 其实你早就可以做一线巨星，奈何只想做自己内心渴望的角色，出演自己中意的角色。,<__小逗吹>: 恭喜恭喜[鼓掌],<我爱筱燕秋>: [太开心][太开心][太开心],<OZIE-ZQing>: 恭喜，请问国内大概什么时候能看到,<lllwwwenly>: [礼花][礼花][礼花],<Slotice>: 恭喜！！可厉害啦！！！,<以梦为马--H>: 棒[good][good][good],<李彦明的微博>: 姐姐可以的 看过你的戏 真的很棒！加油[赞],<心慈手软大魔王>: 恭喜恭喜！长脸[good],<张在走>: 太棒了！恭喜璐姐[鼓掌],<心灵的远行13>: [鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]]
huangluxiaozhu	背法语台词生无可恋，不过能见到苏菲玛索也是值了[doge] 上海·陆家嘴（商圈） ​​​	[<牙买加420weed>: 你确实见到的不是papi酱 @papi酱,<窜天小小猴>: 卧槽，比诺什不比她岁数大吧？怎么老成这样了。。。,<Lzz砚>: 两位女神好美[鼓掌][鼓掌][鼓掌],<大叔18歲_>: 璐璐 要拍片了阿,<曾泰元>: Wow, Sophie Marceau!,<Sofia翼>: 好赞～都有气质！,<荷塘边的婷儿>: 岁月不饶人啊！遥想当年的芳芳,<白落梅1314>: 璐姐，最近看了你的《盲山》，你演得真的太好了，害我掉了好多眼泪呢！,<肉肉姐哟>: [鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],<ap_237>: 真正女神就是这么一点架子没有的。,<一个骨科小医生>: 女神老了。不过气质也是棒,<夏美好啊>: 她好好看 你也好会穿！]
huangluxiaozhu	2017新年快乐，夜宿美术馆 厦门 ​​​	[<马路上天天都在塞>: oops, 超有味道,<matlab嗯>: 女神。新年快乐。新的一年期待看到女神更多好作品,<东理黄美军>: 我也在厦门，今天刚到，在青旅跨年。准备后天跑马拉松。新年快乐,<凌夕有个小酒窝>: 新年快乐，永远这么美[心],<whiteout_>: 新年快乐！共同进步！[兔子],<大叔18歲_>: 女神 睡袋有沒有帶 要蓋2層才不會著涼[嘻嘻],<The-only-one-Eric>: happy new year ! 期待您在新的一年里事业上更进一步！,<小贤女_HuangLu>: 新年快乐[心][心][哈哈][哈哈],<大叔18歲_>: Ya ya ya 2017搶第一[爱你]]
huangluxiaozhu	新加坡电影节《A yellow bird》首映 新加坡 ​​​	[<黄轩的莉莉>: 好棒好棒～ [鼓掌][鼓掌],<老徐不能尽兴>: 超美，好爱短发的你[心],<黄璐lulu>: @JEI_JIANG  摄影,<生活没有啥目标的平儿>: 璐璐美美哒！期待明天我们的《A Yellow Bird》能获得好成绩,<PROJINS>: 中国影坛文艺女神黄璐，中国唯一一位入选过欧洲三大电影节的80后女演员。感谢黄璐小姐选择PROJINS16秋冬火山瀑系列etna参加新加坡国际电影节，恭喜新作首映！[鼓掌] @黄璐lulu   @VogueMe   @Vogue @elle   @cosmo   @bazaar  ,<ANNDERSTAND_OFFICIAL>: 感谢美美的黄璐姐选择ANNDERSTAND春夏款式参加新加坡电影节[鲜花][鲜花][鲜花]你是最美嗒[赞][赞],<PROJINS>: 恭喜lulu新作首映!!![鼓掌][鼓掌]黄璐小姐携火山瀑走上红毯,<麦田哪去了>: 美的我想转，可是我退出不玩微博好多年，还是留给牛哥转吧。[good] @犀牛大哥,<大叔18歲_>: 女神怎么可以那麼美 大叔永遠愛你[嘻嘻],<pickingoranges>: 美得这么清新无害！,<彭于晏家的小瘦子>: 图四，好美，已存[鲜花][鲜花][鲜花][鲜花]]
huangluxiaozhu	明天下午去电影资料馆看《盲山》哈哈，白雪梅你还好吗[偷笑] ​​​	[<请不要盗用此号>: 刚看我这部电影，我已经说不出话了，心里好塞。非常触目惊心。没有公映才导致这么迟才看到这么优秀的电影，这题材实在让人深思。,<囧囧有神2007>: 刚在网上看完这部电影，好沉重啊,<千千山空空鱼>: 回复 @芫荽_May :我喜欢这个海外版,<留曦月>: 回复 @诚如神之所愿 :海外版是雪梅砍了那个男的一刀,<西瓜牙牙乐_>: 看完心里久久不能平静,<南河四>: 刚看完这部电影，很震撼啊,<123假面JABBAWOCKEEZ>: [悲伤]刚看了这个电影  心情无法平复,<五百本本本>: 看了这个电影，气死我了[崩溃],<四四猴>: 刚刚看了盲山，看到父亲来救白雪梅突然泪奔。心疼白雪梅。[泪],<张香主爱吃鱼>: 看你过的这么好我就放心了,<CCTV陈畅>: 回复 @拉轰的男人12138 :应该就是这句哈哈,<CCTV陈畅>: 白雪梅你好 哈哈,<CCTV陈畅>: 是什么使我的镜头如此颤抖  原谅我那颗早已充满愤怒的心,<挚爱tina李缇娜>: 看完好心疼白雪梅,<污污哒馍馍>: 姐姐，愿您天天开心[哆啦A梦花心],<无厘头1989>: 我刚刚看完这部电影。的确非常震撼。你演得太真实了。,<拉轰的男人12138>: 一转眼，过去了六年。看到你过得好 我就放心了[可爱],<聊城大学微博协会>: 李杨是最真实的导演 您也是最真实的演员[爱心],<欧尼萌萌哒3>: 感觉盲山里面很像章子怡[爱你],<寇大胖胖>: 我看了，真的演的很棒，你是当之无愧的影后！,<欧尼萌萌哒3>: 正在看盲山。[微笑],<The-only-one-Eric>: 盲井和盲山两部作品，我觉得从故事等各方面，盲山不可能超过它。但我错了。盲山对我的震撼远超盲井。我想是因为绝望。盲山不仅有罪恶，还有绝望。那种绝望之于人的痛苦，是旁人无法体会的。人生最可悲的事就是绝望。而那些绝望是人为的。感谢你们，给了绝望的那些灵魂和社会现实带去的一丝微弱的阳光。,<子蓝_S>: 抽空马上看[嘻嘻][嘻嘻][嘻嘻],<The-only-one-Eric>: 赶巧在这两天看了，您的微博又发了关于这部电影的海报，就过来评论一下。说老实话，作为普通老百姓，我们即便了解这方面背景，但看电影依然心情沉重。电影让社会直面问题，我也会为了社会更美好而努力，但对于她们作为普通观众我无能为力。微博里黄老师阳光灿烂的自拍，多多少少缓解了心里的那份纠结。,<Someright>: 因为这部电影关注的你,<i_am_hymmm>: 值得反思的电影 演的真好[赞],<娇娇jiaojiao>: 刚刚看了盲山      果断来微博关注你,<加贝小princess>: 你演的非常好，结局把我看哭了，希望你能多拍戏！在电视上看到你！加油！支持你！,<大叔18歲_>: 聖誕節快到了 這海報應景,<郁见娜>: 这部电影很压抑，,<大叔18歲_>: 每天都要來看lulu,<人生无需喧哗>: 看完盲山 我心里好难受,<杨大厨儿>: 第一次看   是海外版的那个   结局，，，真痛心,<大叔18歲_>: Lulu吃飽沒[咖啡],<能想到的名字全被占用>: 天啊，看完心情很沉重啊，几天几夜睡不着！,<我是路人甲哦>: 刚刚看完，好震撼,<Csxmo>: 看完不禁问你鼓掌，震撼,<不完全恋人围脖>: 现在刚看完，你演的真好，可怜你同情你！眼泪哗哗的！,<一只叫啤酒的猫>: 其实认识你是在推拿，可是以前有看过盲山，没认识,<emi9287>: 完全看不到你的气息！这才是演员最能耐的模样,<大叔18歲_>: Lulu本片為藝術犧牲 大叔我看的也是感動了 中國前10名新生代女演員,<大叔18歲_>: 現代版盲山  http://t.cn/RfxGNQV,<tracy860821>: 看完这部电影，心里难受了很久,<还是做一枚蒲公英同学可好>: 有一张票去不了转让有要的吗[泪][泪],<伊-小晴>: [舔屏][舔屏]可惜看到的版本是和谐版本,<Libertjy>: 看你的第一个电影,<一零三壹便利店>: 这片跟熔炉，素媛，列入不敢看系列，是因为深深的无力！明知道发生却又做不了什么,<小野君>: 然而一周前票就售磬了，想去偶遇啊啊啊,<咖布尼>: 因为盲山喜欢上了你,<趙維愛唱歌>: 我是从这部影片中认识的璐璐,<许怀素>: 喜欢这部电影，我看的是结尾动刀的那个版本。,<只为你温柔逐芳华>: 看了我压抑了好久,<啾啾的六舅>: 还好我看的是未删减版！,<时间是回忆最好的耗子药>: 看《盲山》内心极度痛苦,<特雷稀>: 好想看一遍一刀未剪版...,<暴走的小侯>: 周至人民[鼓掌]]
huangluxiaozhu	收到影迷给我做的木刻版画，真是很有才，PS我发现我的影迷女生比男生多 ​​​	[<昨夜星辰昨夜风icon>: 棒棒哒，加油[心],<波澜懒>: 希望你越来越好。,<JOEY_Ccchou>: 女粉丝举手，字很好看，画也很好看,<一只叫啤酒的猫>: 推拿看了不止一遍呐,<Scarlet-box>: 因为你又帅又美啊！,<盖茨没有比>: 我是你的男粉丝哈哈哈,<Antoine光寒>: 把地址给我，让你看看你男影迷的实力。[二哈]]
huangluxiaozhu	直到今天我才能说出口，Justin永远离开了 ​​​	[<intyting>: 在他的狗生里有你的陪伴是他的福气。[蜡烛],<susan说阿朱>: [抱抱][抱抱],<羊負加>: 彼此温暖过就好[心],<哈欠哈Toast>: [抱抱][抱抱][抱抱][抱抱][抱抱],<Neptune不吃菜花>: 和我们家金毛长的好像啊[泪][泪][泪],<梳子di>: [泪][悲伤][悲伤],<醯瓛脦朙槸pll>: [泪][泪][泪],<_SliMer>: R.I.P[蜡烛],<我叫CDZ>: [泪][泪][泪][泪][泪][泪][泪][泪],<温文挽>: 感谢一切的经历，让自己更柔软。,<o元気o>: 抱抱～ta会一直陪着你的,<寥汀花溆-->: 难看（我家狗狗名字）在我家住了十年，在我心里就是我的好妹妹，前几天，她也走了。似乎是把一整年该流的泪全流完了。在广东上学的我也没有能见到她最后一面，但是，我会永远永远把她放在我心里最柔软的地方。亲爱的璐璐姐姐，请别太过悲伤，她会一直都在我们心里的。[爱心]️,<由理喵>: 月有阴晴圆缺，博主还请节哀顺变[泪],<给自己一个悠长的假日>: 心痛[悲伤][悲伤][悲伤]。,<清者烛明>: [泪][泪][泪][泪][泪][泪][泪][泪]心疼你，心疼它。,<LiuSophie>: [抱抱][抱抱][抱抱],<塔塔的亲奶奶>: [心][心][心],<斯沐___>: 抱抱[悲伤]有你的日子它很幸福！,<5796O>: [心][心][心],<几内亚寒流>: 我的小豆包也只陪伴了我们家十五天 一家人都特别伤心 心疼陪伴了你们这么久,<汤麦粒>: [抱抱][抱抱],<Pear_kling>: [大哭][大哭][大哭],<许雪饼>: [抱抱][抱抱][抱抱],<陈晔YIVID>: [惊恐][惊恐][惊恐],<高冷到灰起>: 可爱的金大毛去汪星球了[泪]]
huangluxiaozhu	《对面的女孩杀过来》居然B站上有了[发呆]http://t.cn/RVCAyAY ​​​	[<噗噗_仔>: 哈哈～女主分享，好高的待遇,<想换名字了PINK>: 哇~哇~哇~，立马杀去看[鼓掌],<清风忆一>: 哈哈哈，周末看。,<大叔18歲_>: 這片大陸要上的 lulu少賺好几個億[嘻嘻],<啊烦阿饭啊>: 等了好多年终于有资源啦,<沈筼筜>: 太好了，回学校就去看～[偷笑],<小医生Kiko>: 哇！！！！！璐璐和张书豪的新片[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌],<要小米秃老亮>: 回复 @黄璐lulu :大陆有上嘛？好多片子好像都没在影院见过,<黄璐lulu>: 回复 @要小米秃老亮 :就是看到了才想起来,<要小米秃老亮>: 哈哈女演员亲自发链接。。。[哈哈]璐璐看到前几天大导演发资源的消息吗？,<不成层的垆坶沉积物>: @張書豪bryan张书豪,<大叔18歲_>: Lulu可以跟我拍第二集 對面的女孩殺過來之大叔篇[嘻嘻],<April艾醬>: 看剧照感觉就很有趣，晚上看,<大叔18歲_>: 那我要來回味一下,<昨夜星辰昨夜风icon>: 一定去看[噢耶][噢耶],<zhch12345>: 哈哈哈哈哈哈哈哈哈好像傅园慧啊,<DIMSUM_H>: nice[doge]]
huangluxiaozhu	剪了短发[呲牙] 台湾·台北捷運(忠孝敦化站) ​​​	[<光野猫Lily>: 回复 @我就是阿呜 :好棒[爱你],<我就是阿呜>: @娟娟酱左阿喵右阿汪心里皮卡丘  找亮点,<荷塘边的婷儿>: 新发型怎么有点儿白雪梅的意思[挤眼],<我就是阿呜>: 啊啊啊是我送的袋子，没想到你真的会用，太开心了！！！ @光野猫Lily  快看你家的布袋,<阿邤>: 好看[心][心],<phantaci_jvr>: 不能说的秘密，路小雨好像,<清者烛明>: [心][心][心][心][心][心],<熄不灭III之天暖了去跑吧>: 皮肤[good],<shzkshjxbjsjsnbdjsh>: 表白lulu[心][心],<詹璞>: 还真是说剪就剪了,<Tattooer-怪童四方>: 有点像奈良美智的娃娃,<LunaPatton>: 我也刚剪短了头发。自从《推拿》开始就好喜欢你，你的微博记录自己与家人的生活。从来不会刻意的制造话题，你已经成为我心中最好的演员，拿奖很多却依旧低调不张扬。我会一直看着你，越变越好！希望我也能成为你这样的人。,<Brother_BB>: 挺好看！！ 🙈 🙈 🙈这回要演什么角色(･ิϖ･ิ)っ搬小板凳坐等[傻笑],<要小米秃老亮>: 我天，真是说剪就剪，行动力一级棒！换发型不会影响你手上的工作吗？,<大叔18歲_>: 夠短 有精神 女神 太適合你了 別有一番風情,<犬水是铁脚板大队长>: 耳发那点还可以短点！改天我也去剪,<o元気o>: 不一样的感觉哦～像个高中生一样[兔子],<大叔18歲_>: 帥啦！lulu我更愛你了[嘻嘻],<骆逢君>: 我要取关了！每天都那么让人惊喜！[泪][泪]好喜欢长发！！！！,<ni一个人走>: 短发女人也可以性感和可爱[心],<王绛绿>: 俏皮可爱 依然文艺女神[爱你]]
